, <=50K, >50K
 Bachelors,1720.642785919475,1283.8680020184777
 HS-grad,4804.320495209576,880.5076824596332
 11th,484.3076052598215,4.571367204627812
 Masters,372.1304749683086,536.8160492260616
 9th,372.1304749683086,0.0
 Some-college,3336.4708116078637,703.8883709368256
 Assoc-acdm,543.9762915850944,228.92562778765372
 Assoc-voc,498.628089977887,243.2461125057192
 7th-8th,467.60037308874513,35.5990840937697
 Doctorate,52.30631626484609,61.853306076889744
 Prof-school,78.56053824796615,281.4340717538938
 5th-6th,333.94251572013394,83.33403315398797
 10th,302.9147988309921,6.958114657638727
 1st-4th,178.80393127442454,0.0
 Preschool,0.0,131.06898221420624
 12th,248.01960741174105,0.0
