, <=50K, >50K
18.18,1059.5137414354517,0.0
20.65,947.3366111439389,147.77621438528266
23.0835,1422.2993542931108,302.9147988309921
25.5165,625.1257049874655,171.64368891539178
27.950000000000003,995.0715602041571,162.09669910334813
30.3835,954.4968535029716,73.78704334194431
32.816500000000005,1188.3981038980412,152.54970929130448
35.25,873.3474401006005,276.660576847872
37.683499999999995,73.78704334194431,0.0
40.1165,594.0979880983235,338.71601062615576
42.55,460.4401307297124,240.85936505270828
44.98350000000001,973.5908331270589,508.17507978993063
47.4165,372.1304749683086,102.42801277807528
49.85,761.1703098090875,477.1473629007888
52.283500000000004,0.0,16.505104469682383
54.716499999999996,0.0,6.958114657638727
57.15,183.57742618044637,61.853306076889744
59.5835,286.20756665991564,26.05209428172604
62.01649999999999,279.0473243008829,257.5665972237847
64.45,138.22922457323898,0.0
66.8835,546.3630390381053,16.505104469682383
69.31649999999999,145.38946693227174,176.41718382141363
71.75,0.0,42.75932645280243
74.18350000000001,281.4340717538938,0.0
76.6165,42.75932645280243,0.0
79.05,66.62680098291158,152.54970929130448
81.48349999999999,0.0,88.1075280600098
83.9165,140.61597202624992,0.0
86.35,0.0,0.0
88.7835,0.0,92.88102296603162
