, <=50K, >50K
 Adm-clerical,1761.4832360595315,324.03152710417675
 Exec-managerial,1147.445741337706,1016.5852916428911
 Handlers-cleaners,676.3481224363716,54.25767696409615
 Prof-specialty,1211.8693473413075,992.4264393915406
 Other-service,1735.3111461205683,84.45624227828426
 Sales,1437.351968353912,499.18320592646785
 Craft-repair,1689.0066793054798,497.16996823885535
 Transport-moving,672.3216470611465,193.17107740936152
 Farming-fishing,559.5803365548442,66.33710308977139
 Machine-op-inspct,940.0822595136145,158.94603671994832
 Tech-support,334.0977155422395,148.87984828188561
 ?,877.6718911976257,70.36357846499648
 Protective-serv,293.83296178998864,84.45624227828426
 Armed-Forces,34.12530008797073,3.926734773782605
 Priv-house-serv,86.46947996589681,0.0
