, <=50K, >50K
1616.6505000000002,12995.491835982277,1953.6002785411042
4999.950000000001,517.9209322776113,156.083048259983
8333.25,0.0,383.6907494968782
11666.55,74.37771961084113,1165.7274665672362
14999.85,0.0,1013.9889990759726
18333.15,0.0,482.9043628565505
21666.449999999997,728.0203488039762,272.80494633018566
24999.75,0.0,698.8398742864255
28333.050000000003,838.9061519706687,0.0
31666.35,0.0,156.083048259983
34999.65,693.0037793829154,0.0
38332.95,0.0,1498.3848760673138
41666.25,0.0,0.0
44999.55,0.0,0.0
48332.85,144.41085845296274,0.0
51666.15,0.0,0.0
54999.45,91.88600432137153,891.4310061022599
58332.75,704.6759691899356,331.16589536528704
61666.05,202.77180748806407,628.8067354443039
64999.35,231.95228200561473,0.0
68332.65,0.0,97.72209922488166
71665.95000000001,459.55998324251,290.31323104071606
74999.25,0.0,56.86943490031073
78332.54999999999,442.0516985319796,0.0
81665.85,91.88600432137153,0.0
84999.15,191.0996176810438,844.7422468741788
88332.45000000001,471.2321730495302,0.0
91665.75,0.0,144.41085845296274
94999.04999999999,0.0,436.2156036284694
98332.35,313.65761065475664,827.2339621636484
