, <=50K, >50K
 United-States,11676.685604008266,3704.6812277950694
 Cuba,0.0,147.14181560872413
 Jamaica,376.52087746502133,90.87902685151917
 India,0.0,225.04413850331565
 ?,333.24180919024826,207.73251119340642
 Mexico,800.6557465577972,0.0
 South,324.58599553529365,406.8162252573625
 Puerto-Rico,484.71854815195394,0.0
 Honduras,0.0,69.23949271413265
 England,735.7371441456377,757.3766782830241
 Canada,0.0,34.616238094314205
 Germany,774.6883055929334,575.6045915289774
 Iran,238.02785898574754,0.0
 Philippines,0.0,4.320890301973065
 Italy,0.0,0.0
 Poland,0.0,0.0
 Columbia,558.2929642190682,900.1976035897753
 Cambodia,0.0,0.0
 Thailand,0.0,142.81390878124682
 Ecuador,86.55112002404186,294.2906477429525
 Laos,0.0,0.0
 Taiwan,12.976703956927675,0.0
 Haiti,0.0,506.3580822893405
 Portugal,138.48600195376955,134.15809512629224
 Dominican-Republic,0.0,90.87902685151917
 El-Salvador,0.0,0.0
 France,0.0,904.5255104172526
 Guatemala,0.0,51.927865404223425
 China,0.0,0.0
 Japan,0.0,0.0
 Yugoslavia,168.78134974611066,8.64879712945037
 Peru,272.651113605566,523.6697095992497
 Outlying-US(Guam-USVI-etc),0.0,112.5185609889057
 Scotland,116.84646781638301,225.04413850331565
 Trinadad&Tobago,0.0,666.4906349060008
 Greece,82.22321319656456,0.0
 Nicaragua,424.1278525672717,8.64879712945037
 Vietnam,0.0,341.8976228452029
 Hong,138.48600195376955,272.651113605566
 Ireland,0.0,60.58367905917803
 Hungary,173.10925657358797,0.0
 Holand-Netherlands,147.14181560872413,112.5185609889057
