, <=50K, >50K
70.422,12698.071615292909,3514.2533273860677
217.79999999999998,432.7836662222263,0.0
363.0,0.0,333.24180919024826
508.2,164.45344291863336,315.93018188033903
653.4,419.7999457397944,60.58367905917803
798.6,51.927865404223425,121.1743746438603
943.8,82.22321319656456,177.43716340106528
1089.0,0.0,95.20693367899648
1234.1999999999998,753.0487714555469,43.27205174926881
1379.4,718.4255168357284,0.0
1524.6,0.0,0.0
1669.8000000000002,147.14181560872413,0.0
1815.0,86.55112002404186,0.0
1960.1999999999998,0.0,294.2906477429525
2105.4,588.5883120114092,0.0
2250.6,0.0,298.6185545704298
2395.8,0.0,0.0
2541.0,0.0,0.0
2686.2,21.632517611882285,0.0
2831.4,86.55112002404186,0.0
2976.6,0.0,484.71854815195394
3121.8,25.960424439359592,0.0
3267.0,242.35576581322485,0.0
3412.2,134.15809512629224,0.0
3557.4,233.69995215827024,0.0
3702.6,34.616238094314205,0.0
3847.8,605.8999393213185,0.0
3993.0,112.5185609889057,121.1743746438603
4138.2,272.651113605566,0.0
4283.4,0.0,0.0
