, <=50K, >50K
1.2425,132.59249376689058,0.0
1.75,0.0,4.198405889667637
2.25,307.6753408721946,15.870595696687905
2.75,144.26468357391084,33.378880407218304
3.25,0.0,0.0
3.75,0.0,0.0
4.25,260.9865816441135,0.0
4.75,0.0,243.47829693358312
5.25,0.0,45.05107021423857
5.75,190.9534428019919,0.0
6.25,0.0,10.03450079317777
6.75,144.26468357391084,0.0
7.25,4.198405889667637,0.0
7.75,120.92030395987031,196.78953770550206
8.25,0.0,0.0
8.75,383.54457461782636,126.75639886338045
9.25,45.05107021423857,144.26468357391084
9.75,436.06942874941757,68.39544982827911
10.25,150.100778477421,0.0
10.75,85.90373453880952,0.0
11.25,0.0,0.0
11.75,103.4120192493399,4.198405889667637
12.25,0.0,132.59249376689058
12.75,406.8889542318669,348.52800519676555
13.25,103.4120192493399,0.0
13.75,0.0,0.0
14.25,0.0,0.0
14.75,167.6090631879514,85.90373453880952
15.25,27.542785503708174,0.0
15.75,0.0,0.0
