, <=50K, >50K
18.18,220.1339173195426,10.03450079317777
20.65,62.559354924768975,0.0
23.0835,103.4120192493399,21.706690600198037
25.5165,243.47829693358312,56.723260021258845
27.950000000000003,80.06763963529937,0.0
30.3835,237.64220203007298,0.0
32.816500000000005,150.100778477421,0.0
35.25,161.77296828444125,0.0
37.683499999999995,150.100778477421,0.0
40.1165,0.0,278.49486635464393
42.55,155.9368733809311,0.0
44.98350000000001,155.9368733809311,208.46172751252232
47.4165,0.0,0.0
49.85,0.0,33.378880407218304
52.283500000000004,0.0,0.0
54.716499999999996,120.92030395987031,0.0
57.15,0.0,91.73982944231965
59.5835,190.9534428019919,33.378880407218304
62.01649999999999,0.0,0.0
64.45,161.77296828444125,255.15048674060338
66.8835,56.723260021258845,45.05107021423857
69.31649999999999,80.06763963529937,0.0
71.75,97.57592434582978,85.90373453880952
74.18350000000001,0.0,10.03450079317777
76.6165,10.03450079317777,27.542785503708174
79.05,0.0,0.0
81.48349999999999,0.0,103.4120192493399
83.9165,0.0,0.0
86.35,0.0,33.378880407218304
88.7835,0.0,0.0
