, <=50K, >50K
 Adm-clerical,74.23154473178924,284.33096125815405
 Exec-managerial,150.100778477421,85.90373453880952
 Handlers-cleaners,208.46172751252232,39.21497531072844
 Prof-specialty,0.0,144.26468357391084
 Other-service,155.9368733809311,103.4120192493399
 Sales,68.39544982827911,126.75639886338045
 Craft-repair,27.542785503708174,231.80610712656286
 Transport-moving,115.08420905636018,278.49486635464393
 Farming-fishing,62.559354924768975,39.21497531072844
 Machine-op-inspct,185.1173478984818,62.559354924768975
 Tech-support,0.0,0.0
 ?,80.06763963529937,39.21497531072844
 Protective-serv,0.0,0.0
 Armed-Forces,167.6090631879514,0.0
 Priv-house-serv,0.0,220.1339173195426
