, <=50K, >50K
 Bachelors,342.6919102932554,0.0
 HS-grad,348.52800519676555,0.0
 11th,296.00315106517434,161.77296828444125
 Masters,109.24811415285005,27.542785503708174
 9th,4.198405889667637,33.378880407218304
 Some-college,220.1339173195426,45.05107021423857
 Assoc-acdm,115.08420905636018,0.0
 Assoc-voc,0.0,0.0
 7th-8th,0.0,0.0
 Doctorate,138.42858867040073,255.15048674060338
 Prof-school,68.39544982827911,237.64220203007298
 5th-6th,0.0,85.90373453880952
 10th,138.42858867040073,68.39544982827911
 1st-4th,120.92030395987031,126.75639886338045
 Preschool,85.90373453880952,0.0
 12th,0.0,208.46172751252232
