, <=50K, >50K
1616.6505000000002,1206.4339560127553,325.183625582725
4999.950000000001,4.198405889667637,354.36410010027566
8333.25,0.0,196.78953770550206
11666.55,21.706690600198037,0.0
14999.85,144.26468357391084,21.706690600198037
18333.15,0.0,0.0
21666.449999999997,150.100778477421,0.0
24999.75,21.706690600198037,0.0
28333.050000000003,45.05107021423857,0.0
31666.35,15.870595696687905,45.05107021423857
34999.65,0.0,62.559354924768975
38332.95,0.0,0.0
41666.25,0.0,0.0
44999.55,45.05107021423857,336.85581538974526
48332.85,0.0,0.0
51666.15,0.0,0.0
54999.45,0.0,0.0
58332.75,0.0,0.0
61666.05,0.0,27.542785503708174
64999.35,132.59249376689058,0.0
68332.65,249.31439183709327,173.4451580914615
71665.95000000001,161.77296828444125,109.24811415285005
74999.25,109.24811415285005,0.0
78332.54999999999,0.0,0.0
81665.85,0.0,179.28125299497165
84999.15,0.0,103.4120192493399
88332.45000000001,0.0,0.0
91665.75,21.706690600198037,0.0
94999.04999999999,4.198405889667637,0.0
98332.35,173.4451580914615,39.21497531072844
