, <=50K, >50K
 United-States,763.0930483910923,345.7798015887251
 Cuba,1.5553155257555042,0.0
 Jamaica,67.57097038714693,74.64407626515316
 India,34.563142956451216,27.490037078444992
 ?,15.701527281767953,0.0
 Mexico,0.0,41.63624883445744
 South,32.20544099711581,0.0
 Puerto-Rico,0.0,18.05922924110336
 Honduras,0.0,0.0
 England,10.986123363097137,0.0
 Canada,53.42475863113448,0.0
 Germany,0.0,53.42475863113448
 Iran,13.343825322432545,36.920844915786624
 Philippines,34.563142956451216,6.27071944442632
 Italy,0.0,0.0
 Poland,22.774633159774176,10.986123363097137
 Columbia,0.0,0.0
 Cambodia,13.343825322432545,0.0
 Thailand,15.701527281767953,0.0
 Ecuador,18.05922924110336,6.27071944442632
 Laos,69.92867234648234,0.0
 Taiwan,10.986123363097137,0.0
 Haiti,8.62842140376173,51.06705667179907
 Portugal,46.351652753128256,25.132335119109584
 Dominican-Republic,10.986123363097137,13.343825322432545
 El-Salvador,13.343825322432545,0.0
 France,0.0,0.0
 Guatemala,0.0,34.563142956451216
 China,27.490037078444992,18.05922924110336
 Japan,0.0,18.05922924110336
 Yugoslavia,6.27071944442632,34.563142956451216
 Peru,1.5553155257555042,32.20544099711581
 Outlying-US(Guam-USVI-etc),15.701527281767953,3.9130174850909123
 Scotland,69.92867234648234,0.0
 Trinadad&Tobago,20.416931200438768,46.351652753128256
 Greece,81.71718214315938,0.0
 Nicaragua,0.0,0.0
 Vietnam,0.0,0.0
 Hong,0.0,15.701527281767953
 Ireland,55.78246059046989,0.0
 Hungary,69.92867234648234,0.0
 Holand-Netherlands,27.490037078444992,0.0
