, <=50K, >50K
 Bachelors,140.65973112654459,69.92867234648234
 HS-grad,381.1453309787562,48.709354712463664
 11th,0.0,0.0
 Masters,65.21326842781153,29.8477390377804
 9th,18.05922924110336,36.920844915786624
 Some-college,249.11402125597334,36.920844915786624
 Assoc-acdm,43.99395079379285,0.0
 Assoc-voc,36.920844915786624,0.0
 7th-8th,22.774633159774176,0.0
 Doctorate,13.343825322432545,25.132335119109584
 Prof-school,32.20544099711581,29.8477390377804
 5th-6th,0.0,20.416931200438768
 10th,15.701527281767953,0.0
 1st-4th,0.0,0.0
 Preschool,0.0,32.20544099711581
 12th,34.563142956451216,0.0
