, <=50K, >50K
 Adm-clerical,152.5945621031562,30.159997000628078
 Exec-managerial,73.11949352783093,107.4870907495932
 Handlers-cleaners,58.083669743309926,17.272148042467226
 Prof-specialty,81.71139283327149,62.37961939603021
 Other-service,107.4870907495932,0.0
 Sales,94.59924179143235,55.935694916949785
 Craft-repair,92.45126696507221,75.26746835419107
 Transport-moving,49.491770437869356,98.89519144415263
 Farming-fishing,34.45594665334836,15.124173216107083
 Machine-op-inspct,51.6397452642295,0.08834943158608757
 Tech-support,36.603921479708504,0.0
 ?,81.71139283327149,0.08834943158608757
 Protective-serv,17.272148042467226,0.0
 Armed-Forces,49.491770437869356,0.0
 Priv-house-serv,6.532273910666514,23.71607252154765
