, <=50K, >50K
1.2425,127.27520773399094,25.782907561465727
1.75,20.708292552839467,0.0
2.25,208.46904787201112,0.0
2.75,142.49905275986973,5.484447526960683
3.25,0.0,0.0
3.75,0.0,0.0
4.25,213.54366288063736,0.0
4.75,0.0,172.94674281162727
5.25,0.0,0.409832518334423
5.75,183.0959728288798,25.782907561465727
6.25,0.0,20.708292552839467
6.75,35.93213757871825,0.0
7.25,20.708292552839467,0.0
7.75,46.08136759597077,127.27520773399094
8.25,0.0,0.0
8.75,325.1851930704151,86.67828766498086
9.25,56.23059761322329,117.12597771673842
9.75,411.4536482170615,56.23059761322329
10.25,152.64828277712223,0.0
10.75,30.857522570091987,0.0
11.25,0.0,101.90213269085963
11.75,20.708292552839467,56.23059761322329
12.25,0.0,15.633677544213205
12.75,411.4536482170615,147.57366776849597
13.25,101.90213269085963,0.0
13.75,0.0,35.93213757871825
14.25,0.0,0.0
14.75,238.91673792376866,142.49905275986973
15.25,5.484447526960683,0.0
15.75,0.0,0.0
