, <=50K, >50K
18.18,127.27520773399094,51.15598260459703
20.65,10.559062535586945,0.0
23.0835,66.37982763047582,0.0
25.5165,208.46904787201112,122.20059272536467
27.950000000000003,112.05136270811215,0.0
30.3835,178.02135782025354,0.0
32.816500000000005,117.12597771673842,20.708292552839467
35.25,106.9767476994859,0.0
37.683499999999995,5.484447526960683,0.0
40.1165,0.0,238.91673792376866
42.55,157.7228977857485,0.0
44.98350000000001,157.7228977857485,249.0659679410212
47.4165,0.0,0.0
49.85,0.0,0.0
52.283500000000004,0.0,0.409832518334423
54.716499999999996,81.60367265635459,0.0
57.15,0.0,0.0
59.5835,183.0959728288798,66.37982763047582
62.01649999999999,0.0,5.484447526960683
64.45,86.67828766498086,137.42443775124346
66.8835,0.0,66.37982763047582
69.31649999999999,56.23059761322329,0.0
71.75,96.82751768223338,101.90213269085963
74.18350000000001,0.0,10.559062535586945
76.6165,0.0,5.484447526960683
79.05,61.30521262184955,0.0
81.48349999999999,0.0,20.708292552839467
83.9165,0.0,0.0
86.35,0.0,0.0
88.7835,0.0,0.0
