, <=50K, >50K
1.2425,0.0,38.90030727129644
1.75,28.62118982361203,10.118778417780094
2.25,0.0,0.0
2.75,201.3103629447101,0.0
3.25,0.0,1.895484459632567
3.75,289.710772994796,71.79348310388654
4.25,3.951307949169449,63.57018914573902
4.75,217.75695086100515,0.0
5.25,0.0,8.062954928243213
5.75,439.7858877309884,49.17942471898085
6.25,6.007131438706331,0.0
6.75,550.80035616598,57.40271867712838
7.25,20.397895865464506,108.79830591555043
7.75,236.2593622668371,45.067777739907086
8.25,102.63083544693978,0.0
8.75,4606.940101022248,896.1787024081762
9.25,57.40271867712838,0.0
9.75,3108.244777149861,709.0987648603199
10.25,32.732836802685796,1.895484459632567
10.75,528.1862977810744,293.8224199738698
11.25,0.0,0.0
11.75,468.56741658450477,108.79830591555043
12.25,0.0,0.0
12.75,1551.9863955704416,1233.3337546922248
13.25,8.062954928243213,32.732836802685796
13.75,388.3903004925664,491.18147496941043
14.25,0.0,36.84448378175956
14.75,43.0119542503702,265.0408911203534
15.25,0.0,20.397895865464506
15.75,18.34207237592762,174.58465758073064
