, <=50K, >50K
 United-States,11548.140299911764,3517.6737126818202
 Cuba,0.0,0.0
 Jamaica,307.82151575124647,0.0
 India,80.21381451435126,278.64104123369583
 ?,622.9706405407937,0.0
 Mexico,1276.6132697339287,97.72209922488166
 South,278.64104123369583,459.55998324251
 Puerto-Rico,126.90257374243234,0.0
 Honduras,0.0,226.11618710210462
 England,1124.8748022426653,891.4310061022599
 Canada,0.0,0.0
 Germany,943.9558602338511,611.2984507337734
 Iran,517.9209322776113,0.0
 Philippines,0.0,0.0
 Italy,173.5913329705134,0.0
 Poland,0.0,0.0
 Columbia,774.7091080320572,1405.0073576111517
 Cambodia,0.0,0.0
 Thailand,0.0,10.180675672229656
 Ecuador,0.0,313.65761065475664
 Laos,0.0,126.90257374243234
 Taiwan,0.0,0.0
 Haiti,0.0,500.4126475670809
 Portugal,319.49370555826675,389.52684440038837
 Dominican-Republic,0.0,74.37771961084113
 El-Salvador,4.344580768719522,0.0
 France,0.0,955.6280500408714
 Guatemala,0.0,62.70552980382086
 China,0.0,0.0
 Japan,0.0,0.0
 Yugoslavia,377.8546545933681,86.0499094178614
 Peru,500.4126475670809,733.8564437074863
 Outlying-US(Guam-USVI-etc),0.0,0.0
 Scotland,307.82151575124647,587.9540711197329
 Trinadad&Tobago,0.0,862.2505315847092
 Greece,0.0,0.0
 Nicaragua,681.331589575895,33.525055286270195
 Vietnam,0.0,348.67418007581745
 Hong,80.21381451435126,278.64104123369583
 Ireland,0.0,0.0
 Hungary,348.67418007581745,0.0
 Holand-Netherlands,0.0,500.4126475670809
