, <=50K, >50K
 Adm-clerical,1772.68133653229,0.0
 Exec-managerial,1988.6168479621651,1340.8103136725401
 Handlers-cleaners,1008.1529041724625,0.0
 Prof-specialty,1515.8931607778443,1113.202612435645
 Other-service,1515.8931607778443,220.28009219859447
 Sales,1930.2558989270638,196.93571258455395
 Craft-repair,2414.651775918405,156.083048259983
 Transport-moving,943.9558602338511,0.0
 Farming-fishing,366.18246478634785,86.0499094178614
 Machine-op-inspct,1212.4162257953171,663.8233048653647
 Tech-support,0.0,348.67418007581745
 ?,418.707318917939,103.5581941283918
 Protective-serv,0.0,0.0
 Armed-Forces,512.0848373741012,261.1327565231654
 Priv-house-serv,0.0,0.0
