, <=50K, >50K
 Bachelors,1471.4813048167796,1289.7092180627328
 HS-grad,4254.325394884687,757.3766782830241
 11th,787.6720260753654,0.0
 Masters,415.4720389123171,437.1115730497036
 9th,683.80226221591,0.0
 Some-college,3488.285886421204,705.4417963532966
 Assoc-acdm,458.75110718709016,380.84878429249864
 Assoc-voc,428.455759394749,0.0
 7th-8th,579.9324983564546,302.9464613979071
 Doctorate,0.0,0.0
 Prof-school,0.0,783.344119247888
 5th-6th,0.0,173.10925657358797
 10th,0.0,255.33948629565677
 1st-4th,562.6208710465454,0.0
 Preschool,484.71854815195394,103.86274733395109
 12th,372.192970637544,0.0
