, <=50K, >50K
 Adm-clerical,115.36525760969099,88.98242295949548
 Exec-managerial,45.01103187583631,156.40522262110622
 Handlers-cleaners,53.80531009256814,3.971066864421078
 Prof-specialty,62.599588309299975,100.70812724847126
 Other-service,94.84527510398337,30.35390151461658
 Sales,0.0,68.46244045378786
 Craft-repair,0.0,121.22810975417887
 Transport-moving,21.559623297884748,147.61094440437438
 Farming-fishing,45.01103187583631,27.422475442372637
 Machine-op-inspct,86.05099688725153,50.8738840203242
 Tech-support,0.0,0.0
 ?,109.5024054652031,6.9024929366650225
 Protective-serv,33.285327586860525,0.0
 Armed-Forces,62.599588309299975,0.0
 Priv-house-serv,0.0,124.15953582642283
