, <=50K, >50K
 Bachelors,147.73283700455082,65.21326842781153
 HS-grad,343.42209962938966,77.00177822448856
 11th,0.0,0.0
 Masters,58.1401625498053,18.05922924110336
 9th,15.701527281767953,39.27854687512203
 Some-college,265.61793497132123,43.99395079379285
 Assoc-acdm,69.92867234648234,0.0
 Assoc-voc,36.920844915786624,0.0
 7th-8th,15.701527281767953,0.0
 Doctorate,13.343825322432545,27.490037078444992
 Prof-school,20.416931200438768,39.27854687512203
 5th-6th,0.0,20.416931200438768
 10th,22.774633159774176,0.0
 1st-4th,0.0,0.0
 Preschool,0.0,32.20544099711581
 12th,34.563142956451216,0.0
