, <=50K, >50K
 Bachelors,162.4142160358162,85.91529961583873
 HS-grad,337.91173017576443,76.9154270958414
 11th,0.0,0.0
 Masters,54.415745795848025,22.91619197585731
 9th,0.4165106758639414,31.916064495854656
 Some-college,245.66303684579165,22.91619197585731
 Assoc-acdm,49.91580953584935,0.0
 Assoc-voc,58.915682055846695,4.916446935862615
 7th-8th,18.416255715858636,0.0
 Doctorate,0.0,16.166287585859298
 Prof-school,18.416255715858636,52.16577766584869
 5th-6th,0.0,27.416128235855982
 10th,0.4165106758639414,0.0
 1st-4th,0.4165106758639414,0.0
 Preschool,0.0,31.916064495854656
 12th,29.666096365855317,0.0
