, <=50K, >50K
 Adm-clerical,122.20059272536467,213.54366288063736
 Exec-managerial,71.45444263910207,142.49905275986973
 Handlers-cleaners,122.20059272536467,96.82751768223338
 Prof-specialty,0.0,127.27520773399094
 Other-service,106.9767476994859,86.67828766498086
 Sales,15.633677544213205,147.57366776849597
 Craft-repair,0.409832518334423,127.27520773399094
 Transport-moving,20.708292552839467,183.0959728288798
 Farming-fishing,66.37982763047582,15.633677544213205
 Machine-op-inspct,188.17058783750605,46.08136759597077
 Tech-support,0.0,0.0
 ?,46.08136759597077,0.0
 Protective-serv,0.0,0.0
 Armed-Forces,172.94674281162727,0.0
 Priv-house-serv,0.0,157.7228977857485
