, <=50K, >50K
 Bachelors,138.17394774292234,33.13112490297584
 HS-grad,324.6249582838274,30.505054331977178
 11th,22.62684261898119,9.496489763987876
 Masters,38.38326604497317,33.13112490297584
 9th,1.6182780509918875,22.62684261898119
 Some-college,224.83427658587823,30.505054331977178
 Assoc-acdm,67.27004232595846,0.0
 Assoc-voc,33.13112490297584,27.878983760978514
 7th-8th,27.878983760978514,0.0
 Doctorate,9.496489763987876,25.252913189979854
 Prof-school,46.26147775796915,33.13112490297584
 5th-6th,0.0,4.24434862199055
 10th,9.496489763987876,0.0
 1st-4th,0.0,12.122560334986538
 Preschool,48.88754832896782,17.374701476983862
 12th,64.6439717549598,0.0
