, <=50K, >50K
1.2425,43.99395079379285,22.774633159774176
1.75,0.0,0.0
2.25,15.701527281767953,3.9130174850909123
2.75,20.416931200438768,13.343825322432545
3.25,25.132335119109584,0.0
3.75,8.62842140376173,8.62842140376173
4.25,29.8477390377804,0.0
4.75,0.0,55.78246059046989
5.25,13.343825322432545,0.0
5.75,81.71718214315938,48.709354712463664
6.25,0.0,6.27071944442632
6.75,55.78246059046989,0.0
7.25,0.0,0.0
7.75,0.0,8.62842140376173
8.25,0.0,0.0
8.75,341.0643976700543,105.29420173651346
9.25,3.9130174850909123,18.05922924110336
9.75,282.12184868666907,53.42475863113448
10.25,46.351652753128256,0.0
10.75,62.85556646847611,15.701527281767953
11.25,3.9130174850909123,72.28637430581774
11.75,41.63624883445744,36.920844915786624
12.25,0.0,0.0
12.75,211.3907899066068,84.07488410249479
13.25,0.0,0.0
13.75,27.490037078444992,39.27854687512203
14.25,41.63624883445744,0.0
14.75,32.20544099711581,0.0
15.25,32.20544099711581,0.0
15.75,0.0,0.0
