, <=50K, >50K
 Adm-clerical,99.0718503405346,156.20557225699994
 Exec-managerial,152.39665746256892,114.30750951825868
 Handlers-cleaners,83.83619116281051,19.084639657483116
 Prof-specialty,11.466810068621072,38.12921362963823
 Other-service,76.21836157394846,34.32029883520721
 Sales,0.0,45.74704321850028
 Craft-repair,0.0,152.39665746256892
 Transport-moving,0.0,217.1482089678963
 Farming-fishing,19.084639657483116,15.275724863052096
 Machine-op-inspct,91.45402075167254,49.5559580129313
 Tech-support,26.702469246345164,7.657895274190049
 ?,106.68967992939665,22.89355445191414
 Protective-serv,0.0,0.0
 Armed-Forces,118.11642431268972,0.0
 Priv-house-serv,0.0,182.8679758180171
