volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,color
0.7050000000000001,0.02682,1.6540000000000001,0.07925,15.399999999999999,27.7,0.998,3.5155000000000003,0.5465,9.495000000000001,red
0.855,0.02682,1.6540000000000001,0.09915,25.0,71.1,0.9964999999999999,3.2145,0.665,9.725,red
0.755,0.02682,1.6540000000000001,0.09915,15.399999999999999,56.6335,0.9964999999999999,3.2575000000000003,0.665,9.725,red
0.255,0.581,1.6540000000000001,0.07925,15.399999999999999,56.6335,0.998,3.1715,0.6054999999999999,9.725,red
0.7050000000000001,0.02682,1.6540000000000001,0.07925,15.399999999999999,27.7,0.998,3.5155000000000003,0.5465,9.495000000000001,red
0.655,0.02682,1.6540000000000001,0.07925,15.399999999999999,42.1665,0.998,3.5155000000000003,0.5465,9.495000000000001,red
0.605,0.08315,1.6540000000000001,0.059149999999999994,15.399999999999999,56.6335,0.9964999999999999,3.3005,0.487,9.495000000000001,red
0.655,0.02682,1.6540000000000001,0.059149999999999994,15.399999999999999,27.7,0.995,3.3865,0.487,9.955,red
0.5549999999999999,0.02682,1.6540000000000001,0.07925,5.656,13.016499999999999,0.9964999999999999,3.3435,0.5465,9.495000000000001,red
0.505,0.35950000000000004,6.0335,0.07925,15.399999999999999,100.0335,0.998,3.3435,0.7835,10.415,red
0.5549999999999999,0.08315,1.6540000000000001,0.09915,15.399999999999999,71.1,0.9964999999999999,3.3005,0.5465,9.265,red
0.505,0.35950000000000004,6.0335,0.07925,15.399999999999999,100.0335,0.998,3.3435,0.7835,10.415,red
0.605,0.02682,1.6540000000000001,0.07925,15.399999999999999,56.6335,0.995,3.5585,0.5465,9.955,red
0.605,0.3045,1.6540000000000001,0.119,5.656,27.7,0.9964999999999999,3.2575000000000003,1.555,9.035,red
0.605,0.1935,3.8600000000000003,0.18,53.8,143.43349999999998,0.998,3.1715,0.9025000000000001,9.265,red
0.605,0.1935,3.8600000000000003,0.18,53.8,143.43349999999998,0.998,3.1715,0.9025000000000001,9.265,red
0.255,0.581,1.6540000000000001,0.09915,34.6,100.0335,0.9964999999999999,3.3005,0.7244999999999999,10.415,red
0.5549999999999999,0.3045,1.6540000000000001,0.36,15.399999999999999,56.6335,0.9964999999999999,3.1285,1.2585000000000002,9.265,red
0.605,0.08315,3.8600000000000003,0.07925,5.656,27.7,0.9964999999999999,3.3865,0.487,9.035,red
0.30500000000000005,0.5255000000000001,1.6540000000000001,0.33999999999999997,15.399999999999999,56.6335,0.9964999999999999,3.0425,1.0805,9.265,red
0.20500000000000002,0.47050000000000003,1.6540000000000001,0.07925,25.0,56.6335,0.9964999999999999,3.3865,0.5465,9.495000000000001,red
0.405,0.3045,1.6540000000000001,0.07925,25.0,71.1,0.998,3.5155000000000003,0.665,9.725,red
0.405,0.1935,1.6540000000000001,0.09915,5.656,42.1665,0.9964999999999999,3.1715,0.9025000000000001,9.495000000000001,red
0.505,0.08315,1.6540000000000001,0.07925,5.656,71.1,0.9964999999999999,3.1715,0.5465,9.495000000000001,red
0.405,0.1385,1.6540000000000001,0.07925,25.0,42.1665,0.9964999999999999,3.4295,0.6054999999999999,9.725,red
0.405,0.1385,1.6540000000000001,0.07925,15.399999999999999,27.7,0.995,3.3435,0.5465,9.265,red
0.405,0.249,1.6540000000000001,0.07925,5.656,13.016499999999999,0.9964999999999999,3.3005,0.6054999999999999,9.495000000000001,red
0.405,0.1935,1.6540000000000001,0.09915,5.656,42.1665,0.9964999999999999,3.1715,0.9025000000000001,9.495000000000001,red
0.7050000000000001,0.02682,1.6540000000000001,0.07925,15.399999999999999,42.1665,0.9964999999999999,3.4725,0.5465,9.495000000000001,red
0.655,0.02682,1.6540000000000001,0.07925,5.656,13.016499999999999,0.9964999999999999,3.3865,0.6054999999999999,9.725,red
0.655,0.08315,1.6540000000000001,0.07925,15.399999999999999,85.56649999999999,0.9964999999999999,3.3435,0.5465,10.185,red
0.7050000000000001,0.02682,1.6540000000000001,0.09915,25.0,42.1665,0.9964999999999999,3.4725,0.5465,10.645,red
0.655,0.1385,1.6540000000000001,0.07925,15.399999999999999,114.5,0.9964999999999999,3.1715,0.665,9.725,red
0.605,0.1385,10.379999999999999,0.07925,44.2,85.56649999999999,1.0,3.4295,0.5465,9.495000000000001,red
0.30500000000000005,0.249,1.6540000000000001,0.09915,15.399999999999999,56.6335,0.995,3.3865,0.5465,9.265,red
0.655,0.02682,6.0335,0.07925,5.656,13.016499999999999,0.998,3.3865,0.5465,9.495000000000001,red
0.605,0.1385,1.6540000000000001,0.07925,5.656,13.016499999999999,0.998,3.4295,0.6054999999999999,10.875,red
0.355,0.3045,1.6540000000000001,0.059149999999999994,15.399999999999999,27.7,0.9964999999999999,3.2145,0.7244999999999999,9.725,red
1.105,0.08315,1.6540000000000001,0.18,5.656,13.016499999999999,0.993,3.5155000000000003,0.487,9.725,red
0.45499999999999996,0.35950000000000004,6.0335,0.07925,15.399999999999999,85.56649999999999,0.998,3.3435,0.843,10.415,red
0.45499999999999996,0.35950000000000004,6.0335,0.07925,15.399999999999999,85.56649999999999,0.998,3.3435,0.843,10.415,red
0.605,0.3045,3.8600000000000003,0.07925,15.399999999999999,42.1665,0.998,3.2575000000000003,0.487,9.265,red
0.505,0.1935,1.6540000000000001,0.33999999999999997,5.656,13.016499999999999,0.9964999999999999,3.2145,0.9025000000000001,10.415,red
0.655,0.1935,1.6540000000000001,0.059149999999999994,5.656,27.7,0.9964999999999999,3.3005,1.199,10.185,red
0.655,0.02682,1.6540000000000001,0.059149999999999994,5.656,13.016499999999999,0.9964999999999999,3.4725,0.5465,9.495000000000001,red
0.505,0.1385,1.6540000000000001,0.059149999999999994,5.656,71.1,0.993,3.9025,0.5465,13.175,red
0.9550000000000001,0.41500000000000004,1.6540000000000001,0.119,25.0,114.5,0.9964999999999999,3.2575000000000003,0.7244999999999999,9.265,red
0.30500000000000005,0.5255000000000001,1.6540000000000001,0.119,15.399999999999999,42.1665,0.9964999999999999,3.2575000000000003,0.6054999999999999,9.495000000000001,red
0.405,0.249,1.6540000000000001,0.059149999999999994,5.656,13.016499999999999,0.9964999999999999,3.3435,0.5465,9.265,red
0.30500000000000005,0.35950000000000004,1.6540000000000001,0.07925,15.399999999999999,100.0335,0.995,3.3005,0.6054999999999999,9.265,red
0.655,0.249,1.6540000000000001,0.07925,5.656,27.7,0.9964999999999999,3.1285,0.7244999999999999,9.265,red
0.505,0.02682,1.6540000000000001,0.059149999999999994,5.656,13.016499999999999,0.995,3.3865,0.6054999999999999,9.495000000000001,red
0.505,0.02682,1.6540000000000001,0.059149999999999994,5.656,13.016499999999999,0.995,3.3865,0.665,9.495000000000001,red
0.355,0.35950000000000004,3.8600000000000003,0.07925,34.6,114.5,0.9964999999999999,3.2145,0.5465,9.495000000000001,red
0.505,0.1385,3.8600000000000003,0.119,34.6,71.1,0.995,3.1715,0.6054999999999999,10.185,red
0.605,0.02682,3.8600000000000003,0.07925,25.0,42.1665,0.998,3.3435,0.5465,9.495000000000001,red
0.405,0.581,3.8600000000000003,0.07925,5.656,13.016499999999999,0.9964999999999999,3.0425,0.6054999999999999,9.495000000000001,red
0.605,0.1385,6.0335,0.119,53.8,114.5,0.998,3.2575000000000003,0.7835,9.495000000000001,red
0.605,0.1935,1.6540000000000001,0.07925,15.399999999999999,56.6335,0.998,3.4295,0.6054999999999999,9.955,red
0.405,0.3045,1.6540000000000001,0.07925,5.656,42.1665,0.9964999999999999,3.4295,0.5465,9.495000000000001,red
0.405,0.41500000000000004,1.6540000000000001,0.07925,15.399999999999999,56.6335,0.998,3.4295,0.665,9.265,red
0.7050000000000001,0.47050000000000003,1.6540000000000001,0.119,15.399999999999999,114.5,0.9964999999999999,3.2145,0.7244999999999999,9.265,red
0.505,0.1385,1.6540000000000001,0.07925,15.399999999999999,42.1665,0.9964999999999999,3.3865,0.6054999999999999,9.495000000000001,red
0.755,0.02682,1.6540000000000001,0.07925,15.399999999999999,56.6335,0.9964999999999999,3.3865,0.5465,9.725,red
0.7050000000000001,0.02682,3.8600000000000003,0.07925,5.656,13.016499999999999,0.9964999999999999,3.4295,0.36850000000000005,10.875,red
0.7050000000000001,0.02682,3.8600000000000003,0.07925,5.656,13.016499999999999,0.9964999999999999,3.4295,0.36850000000000005,10.875,red
0.505,0.08315,1.6540000000000001,0.07925,15.399999999999999,42.1665,0.9964999999999999,3.4295,0.6054999999999999,9.495000000000001,red
0.7050000000000001,0.08315,1.6540000000000001,0.07925,5.656,13.016499999999999,0.9964999999999999,3.4295,0.6054999999999999,10.645,red
0.30500000000000005,0.581,1.6540000000000001,0.07925,25.0,71.1,0.9964999999999999,3.3005,0.7835,10.645,red
0.7050000000000001,0.02682,1.6540000000000001,0.07925,5.656,13.016499999999999,0.9964999999999999,3.3435,0.9615,10.415,red
0.605,0.08315,1.6540000000000001,0.07925,15.399999999999999,27.7,0.9964999999999999,3.3005,0.5465,9.495000000000001,red
0.655,0.249,1.6540000000000001,0.07925,15.399999999999999,100.0335,0.9964999999999999,3.3005,0.487,9.495000000000001,red
0.7050000000000001,0.1935,1.6540000000000001,0.07925,15.399999999999999,100.0335,0.9964999999999999,3.3005,0.487,9.495000000000001,red
0.655,0.249,1.6540000000000001,0.07925,15.399999999999999,42.1665,0.998,3.3005,0.5465,9.265,red
0.30500000000000005,0.5255000000000001,1.6540000000000001,0.09915,25.0,85.56649999999999,0.998,3.3005,0.843,9.495000000000001,red
0.405,0.6365000000000001,1.6540000000000001,0.09915,5.656,42.1665,0.998,3.5585,0.665,10.415,red
0.405,0.6365000000000001,1.6540000000000001,0.09915,5.656,42.1665,0.998,3.5585,0.665,10.415,red
0.8049999999999999,0.02682,1.6540000000000001,0.09915,15.399999999999999,27.7,0.9964999999999999,3.5155000000000003,0.5465,10.645,red
0.755,0.1385,1.6540000000000001,0.07925,15.399999999999999,85.56649999999999,0.9964999999999999,3.3865,0.5465,10.185,red
0.605,0.1935,1.6540000000000001,0.07925,25.0,114.5,0.9964999999999999,3.1715,1.1395,9.035,red
0.45499999999999996,0.1935,1.6540000000000001,0.059149999999999994,5.656,13.016499999999999,0.9964999999999999,3.4295,0.5465,9.265,red
0.405,0.6915,1.6540000000000001,0.4605,25.0,71.1,0.9964999999999999,3.1285,1.2585000000000002,9.495000000000001,red
