,alcohol,chlorides,free_sulfur_dioxide,sulphates,density,volatile_acidity,citric_acid
0,0,1,4,1,0,1,4
1,1,1,4,2,3,3,1
2,3,4,4,2,0,3,2
3,4,3,3,0,0,3,1
4,1,4,1,2,4,1,3
5,2,1,3,4,4,3,1
6,0,4,1,2,2,1,4
7,3,0,4,1,4,0,2
8,0,1,4,4,4,4,4
9,2,4,4,2,1,1,3
10,2,2,3,0,0,2,1
11,0,2,0,1,3,0,0
12,4,1,0,4,3,4,1
13,1,1,3,0,0,3,4
14,1,0,3,3,0,0,4
15,3,2,2,0,1,3,1
16,2,0,0,2,0,1,2
17,3,0,0,1,0,3,0
18,1,2,4,4,0,1,0
19,0,2,0,0,1,3,0
20,4,4,0,3,0,1,0
21,1,2,1,2,2,4,1
22,4,0,3,0,0,0,0
23,2,0,4,1,0,2,1
24,1,1,0,2,1,3,0
25,1,2,4,2,0,0,1
26,2,2,2,1,2,3,4
27,2,1,3,0,3,1,1
28,2,0,2,2,1,1,0
29,0,3,1,2,1,2,4
30,2,4,3,0,3,4,1
31,3,4,1,0,1,2,0
32,2,2,0,1,1,1,2
33,4,1,3,0,2,4,3
34,4,2,0,4,1,1,3
35,4,0,0,4,1,0,4
36,1,1,0,2,4,0,2
37,2,3,4,3,2,1,1
38,0,2,2,4,0,2,3
39,1,0,0,3,4,3,2
40,0,2,2,0,0,3,3
41,0,2,3,0,2,2,2
42,2,0,3,1,1,3,2
43,0,2,3,1,1,1,3
44,3,2,1,1,4,0,0
45,1,0,0,0,2,0,0
46,1,1,2,1,4,0,4
47,1,4,1,1,3,3,1
48,4,1,3,2,0,3,0
49,0,0,0,0,1,4,0
50,2,3,0,1,4,3,1
51,1,0,3,1,0,4,2
52,2,1,0,2,4,3,1
53,3,3,2,3,0,2,2
54,0,3,3,1,0,3,2
55,3,0,2,3,3,0,0
56,4,3,2,2,4,0,4
57,1,3,1,3,2,0,4
58,1,2,2,1,2,0,3
59,3,0,0,1,0,2,0
60,0,3,3,4,2,3,3
61,1,2,4,0,4,1,1
62,2,0,2,4,4,2,3
63,2,2,4,0,2,1,0
64,4,3,0,2,1,2,2
65,1,0,4,0,1,3,0
66,3,1,1,0,3,1,2
67,4,3,3,0,1,1,0
68,1,0,2,1,2,2,0
69,4,2,0,1,4,4,3
70,1,0,0,0,2,1,0
71,3,0,3,1,1,0,2
72,0,0,0,0,4,3,3
73,1,0,0,4,2,0,0
74,0,1,2,1,0,2,2
75,0,1,1,2,1,0,4
76,1,1,3,0,1,4,1
77,4,1,2,3,2,1,3
78,0,4,0,0,3,1,1
79,3,3,0,2,0,0,1
80,0,0,0,4,1,0,3
81,1,2,4,4,0,0,0
82,1,2,2,1,4,1,3
83,2,0,4,0,4,2,0
84,1,0,0,2,3,3,0
85,2,1,4,0,1,4,2
86,3,1,4,3,0,1,3
87,2,2,4,1,4,3,2
88,4,0,4,2,4,0,4
89,1,4,3,0,2,0,3
90,2,3,1,4,0,1,4
91,0,1,4,0,3,1,4
92,2,0,0,2,2,0,1
93,2,2,4,0,2,4,1
94,2,2,3,4,4,1,0
95,2,3,4,2,1,0,4
96,3,4,0,1,2,1,4
97,0,0,1,1,3,1,2
98,2,3,4,1,4,2,4
99,0,3,0,2,4,0,3
100,1,3,4,4,4,1,0
101,0,0,0,0,1,1,3
102,1,2,4,1,3,4,2
103,2,2,3,4,1,1,1
104,4,0,2,0,2,2,2
105,0,0,1,1,2,1,2
106,0,0,2,3,3,2,0
107,3,3,3,0,1,2,3
108,1,2,0,4,4,2,2
109,1,4,3,2,1,3,0
110,0,1,3,1,0,1,1
111,1,4,4,3,2,0,2
112,0,1,4,0,2,0,0
113,3,4,3,0,1,1,0
114,1,2,0,1,3,2,3
115,0,2,3,1,4,3,0
116,3,0,0,0,4,2,1
117,3,1,4,3,4,4,2
118,0,0,1,1,3,3,0
119,3,2,4,1,4,3,0
120,3,2,3,1,3,3,2
121,0,1,3,2,0,4,0
122,3,0,3,1,2,1,3
123,1,0,2,3,4,1,3
124,3,3,2,3,1,3,1
125,0,1,1,4,2,3,1
126,4,3,1,0,4,4,4
127,2,0,3,1,4,2,1
128,1,2,1,4,4,4,4
129,0,2,0,3,1,3,1
130,2,1,3,3,1,4,1
131,0,3,2,2,0,4,2
132,0,1,2,0,2,0,3
133,4,0,0,0,0,2,3
134,0,3,4,1,0,1,4
135,2,3,4,4,2,0,2
136,0,3,2,4,0,4,2
137,4,1,2,1,0,4,4
138,1,4,1,1,3,0,4
139,1,3,0,0,1,4,0
140,0,3,4,0,3,2,1
141,4,0,1,1,2,0,1
142,1,2,3,1,0,3,0
143,0,0,4,4,1,1,0
144,0,3,2,4,3,1,0
145,2,1,3,3,0,3,0
146,2,1,1,4,0,0,0
147,0,2,0,1,0,2,0
148,4,4,4,2,0,2,0
149,1,0,1,0,1,0,2
150,1,1,0,2,1,4,2
151,4,0,2,1,4,2,2
152,2,0,1,1,0,1,1
153,0,4,4,1,2,3,1
154,3,4,2,0,3,1,1
155,3,1,0,4,1,0,2
156,1,1,0,1,1,2,3
157,1,2,2,2,3,0,2
158,2,3,1,4,0,3,0
159,0,4,2,0,0,0,1
160,1,3,3,4,1,0,4
161,0,0,3,0,2,0,0
162,1,1,4,3,2,2,1
163,1,2,0,2,4,4,3
164,1,1,0,1,1,1,0
165,3,3,4,4,2,4,3
166,2,0,2,2,0,3,1
167,1,1,1,0,1,1,0
168,0,2,4,1,1,1,1
169,2,0,4,1,3,4,3
170,0,4,4,4,2,4,0
171,3,4,0,2,3,0,0
172,2,1,0,0,3,1,4
173,0,2,3,0,3,4,3
174,4,0,3,1,3,1,1
175,4,2,0,2,0,4,0
176,0,1,3,2,1,4,1
177,4,3,1,1,1,4,4
178,2,2,1,3,0,4,3
179,1,2,1,2,2,4,2
180,0,0,4,3,0,0,0
181,1,1,0,4,0,0,1
182,4,1,2,1,3,3,1
183,4,1,0,0,0,3,3
184,4,1,4,4,0,2,1
185,3,2,0,1,0,4,0
186,2,3,0,1,1,1,0
187,1,0,2,1,4,4,2
188,2,4,1,4,4,4,1
189,4,4,2,0,3,1,3
190,3,3,1,0,2,2,0
191,2,4,2,2,4,1,1
192,3,1,0,0,0,0,2
193,0,0,4,2,2,3,1
194,4,0,4,3,4,2,2
195,2,3,1,1,0,0,1
196,3,2,3,4,1,3,0
197,0,2,0,0,4,4,3
198,0,4,0,0,2,1,2
199,0,2,1,1,3,0,1
200,4,3,3,4,3,0,3
201,1,3,0,0,1,0,0
202,1,0,0,2,2,0,1
203,3,0,4,0,0,2,3
204,2,1,0,0,2,4,1
205,1,0,2,0,1,4,1
206,1,0,0,2,0,0,1
207,1,0,0,1,0,0,4
208,3,1,2,3,1,4,0
209,1,0,0,3,2,0,0
210,4,3,3,4,3,0,0
211,4,4,0,4,0,2,0
212,1,1,0,0,1,2,3
213,2,3,0,3,3,2,1
214,4,0,3,0,0,4,4
215,1,2,1,0,2,0,2
216,3,1,0,2,4,3,0
217,1,0,1,1,2,0,1
218,0,0,3,4,0,4,0
219,4,0,0,3,3,0,2
220,2,1,2,3,0,4,4
221,2,0,0,0,3,1,1
222,3,1,3,1,0,1,0
223,1,0,4,2,1,3,4
224,2,1,3,2,1,3,2
225,2,1,0,0,0,2,3
226,1,3,0,4,3,2,1
227,2,1,0,1,0,3,3
228,2,4,0,0,4,1,4
229,1,0,0,4,1,4,2
230,3,0,1,0,4,4,3
231,4,1,2,3,2,2,1
232,2,3,2,1,1,3,1
233,0,2,1,4,0,0,3
234,1,2,0,1,2,4,1
235,4,0,3,0,2,1,0
236,2,1,0,2,2,3,1
237,0,1,0,0,4,0,4
238,2,2,3,0,1,4,0
239,0,2,3,1,3,0,3
240,1,4,0,1,1,2,4
241,2,3,3,3,0,0,4
242,3,0,1,2,4,0,0
243,1,0,1,1,1,4,4
244,3,1,3,0,0,4,3
245,4,1,3,4,0,1,1
246,1,2,3,3,0,4,0
247,3,3,3,0,4,3,0
248,0,2,3,1,0,4,0
249,4,3,2,4,1,3,1
250,1,4,3,2,4,4,1
251,3,2,4,2,2,1,3
