,chlorides,free_sulfur_dioxide,citric_acid,total_sulfur_dioxide,volatile_acidity,sulphates,pH
0,0,2,0,0,1,0,3
1,4,0,0,1,1,0,0
2,0,2,0,1,0,0,1
3,0,4,0,0,0,1,1
4,0,0,1,0,1,1,3
5,0,0,3,1,4,3,0
6,0,4,0,1,0,0,1
7,2,0,1,0,3,1,2
8,1,0,0,1,4,0,1
9,0,0,0,1,0,0,0
10,0,3,0,1,3,1,0
11,0,0,0,1,0,0,2
12,0,0,0,4,3,2,2
13,0,1,0,1,0,2,1
14,0,0,0,1,0,0,1
15,0,2,0,0,1,1,2
16,0,0,1,1,0,0,1
17,0,3,3,0,1,1,2
18,0,0,1,0,2,0,1
19,4,2,0,1,1,1,4
20,0,2,3,0,2,1,2
21,1,0,0,1,3,0,2
22,2,4,0,0,1,0,2
23,0,0,0,4,0,0,2
24,0,0,0,4,1,3,1
25,0,0,1,1,2,1,2
26,0,0,0,2,1,0,2
27,2,0,0,0,1,4,0
28,0,0,0,1,0,0,1
29,0,4,1,1,0,3,2
30,0,0,0,2,0,1,2
31,0,2,1,0,0,0,1
32,0,0,1,4,1,1,2
33,0,0,1,1,2,0,1
34,0,4,0,1,4,0,1
35,0,2,0,0,1,1,4
36,0,3,1,4,3,0,0
37,0,0,1,2,4,0,1
38,0,0,1,1,0,0,1
39,3,0,2,1,4,0,0
40,0,2,1,1,0,1,4
41,0,0,0,2,0,0,1
42,2,1,4,2,2,1,2
43,0,0,0,2,3,1,2
44,1,4,1,1,4,1,2
45,0,4,0,0,1,1,3
46,0,0,0,0,0,2,1
47,0,0,1,1,3,4,0
48,0,2,0,2,1,0,1
49,0,4,0,1,0,0,0
50,1,0,3,1,2,0,1
51,0,0,0,1,1,0,3
52,0,0,0,1,0,4,0
53,0,0,0,0,0,0,1
54,0,0,3,0,2,2,2
55,0,0,1,0,1,1,3
56,3,0,2,2,0,0,2
57,0,1,2,1,1,0,2
58,0,0,2,0,1,0,2
59,0,0,1,4,0,0,1
60,3,4,1,1,0,0,1
61,0,3,1,1,2,0,1
62,0,0,0,1,1,0,1
63,1,3,1,0,0,1,1
64,0,0,0,0,0,0,0
65,0,0,0,1,0,0,2
66,0,0,1,4,2,1,0
67,0,0,0,3,0,4,2
68,0,0,2,1,4,0,0
69,0,0,0,1,0,1,0
70,0,0,3,1,0,1,4
71,0,0,4,0,0,1,1
72,0,4,0,1,1,0,1
73,0,0,0,1,0,2,2
74,0,0,0,0,2,0,1
75,0,0,1,1,0,1,2
76,0,0,1,2,1,3,1
77,4,1,4,1,0,2,1
78,2,3,0,1,2,1,0
79,0,4,0,1,0,2,2
80,0,2,1,0,1,1,3
81,0,0,0,1,0,1,2
82,0,0,2,1,2,0,2
83,0,0,1,1,0,1,0
84,0,0,1,2,0,4,0
85,0,0,2,1,3,0,3
86,0,0,0,2,0,4,1
87,1,3,0,1,0,1,1
88,0,0,1,1,0,0,1
89,4,3,0,0,2,1,2
90,0,0,1,0,1,1,2
91,0,0,0,3,2,0,2
92,0,0,0,1,0,0,1
93,0,0,0,1,0,0,2
94,2,4,1,2,0,4,2
95,0,0,0,0,0,0,4
96,0,0,1,1,0,1,1
97,0,0,0,1,1,0,1
98,0,1,0,2,0,1,2
99,0,0,0,0,0,1,3
100,1,2,1,1,0,1,0
101,0,0,0,1,0,4,3
102,0,0,0,0,1,4,0
103,0,3,0,2,0,1,1
104,0,1,4,1,0,0,0
105,0,0,1,0,0,2,1
106,2,0,0,4,0,1,1
