,total_sulfur_dioxide,chlorides,free_sulfur_dioxide,volatile_acidity,citric_acid,alcohol,residual_sugar
0,0,3,0,2,0,3,0
1,1,4,0,1,0,3,1
2,1,0,1,4,4,1,0
3,3,3,0,0,0,3,0
4,4,0,0,1,1,0,1
5,2,0,0,0,2,2,0
6,1,0,1,2,1,4,0
7,1,0,0,1,1,2,0
8,1,1,0,1,0,1,0
9,4,4,0,2,0,2,0
10,1,0,0,0,2,2,0
11,0,0,2,0,0,1,3
12,1,0,2,1,0,2,0
13,1,2,0,0,0,2,0
14,1,0,0,0,0,0,0
15,0,4,0,3,0,2,0
16,3,0,1,0,1,0,4
17,0,1,0,4,1,1,3
18,3,0,0,0,3,3,0
19,1,0,0,4,0,1,0
20,3,0,0,1,1,3,1
21,0,0,0,3,0,3,0
22,0,1,0,1,1,1,0
23,1,0,2,0,0,2,0
24,0,0,1,0,0,0,1
25,1,4,0,0,1,0,1
26,2,1,3,0,0,1,2
27,0,0,0,1,0,0,0
28,1,0,0,0,0,1,0
29,0,0,0,0,1,2,4
30,2,1,0,1,2,1,0
31,1,4,0,0,3,2,1
32,0,0,0,3,1,1,0
33,1,1,0,1,1,0,1
34,2,4,0,0,0,1,1
35,3,4,1,1,0,1,0
36,2,0,1,4,1,0,0
37,2,3,0,0,1,0,1
38,4,0,1,0,1,1,0
39,1,2,0,0,2,0,1
40,1,0,3,0,1,1,0
41,2,0,0,0,3,1,3
42,0,0,3,0,2,2,0
43,2,0,1,1,0,1,0
44,1,2,3,0,4,1,0
45,0,0,0,1,4,1,0
46,2,0,0,0,0,1,4
47,1,1,0,4,3,0,3
48,4,0,0,1,1,4,4
49,0,0,0,0,0,0,0
50,1,3,0,0,1,1,0
51,1,0,4,1,0,3,0
52,1,0,0,3,0,2,0
53,4,4,3,0,0,1,0
54,3,0,0,4,4,4,2
55,1,0,0,1,1,1,0
56,2,0,0,0,0,2,0
57,1,0,0,0,3,2,0
58,0,0,0,3,0,3,0
59,1,0,0,1,3,1,0
60,1,0,0,3,1,1,0
61,2,0,1,0,1,1,0
62,4,0,4,2,0,3,0
63,0,0,0,2,1,0,0
64,0,0,0,0,2,2,0
65,3,1,1,0,3,3,0
66,2,0,0,0,1,1,4
67,3,1,3,4,0,1,0
68,1,0,0,0,0,4,1
69,1,0,0,0,0,2,0
70,3,0,4,0,3,1,0
71,0,0,0,0,4,2,0
72,3,2,0,1,3,0,0
73,1,0,0,0,3,2,0
74,2,0,3,2,0,1,3
75,3,0,0,1,0,2,3
76,0,0,0,0,4,1,0
77,1,3,1,0,0,0,2
78,2,0,1,0,0,1,0
79,1,3,0,1,4,1,0
80,0,3,0,1,4,1,0
81,1,0,0,0,0,1,0
82,1,0,0,0,0,2,0
83,1,0,4,0,1,4,0
84,1,0,3,1,1,1,0
85,3,0,1,0,3,1,0
86,4,0,0,0,0,0,1
87,1,4,0,1,2,1,1
88,1,3,1,0,3,0,4
89,1,0,0,0,0,1,0
90,0,0,0,1,2,2,0
91,0,0,0,0,0,1,1
92,1,0,4,0,3,1,0
93,3,0,0,0,0,0,1
94,3,0,4,0,1,3,0
95,0,0,0,0,0,3,0
96,1,0,0,4,1,3,0
97,1,0,0,1,0,0,3
98,1,0,1,2,0,1,1
99,2,3,0,0,0,1,0
100,4,0,0,0,4,0,0
101,3,0,0,3,1,3,0
102,0,0,0,1,0,0,1
103,0,3,3,0,0,2,0
104,4,0,4,0,0,0,4
105,0,3,0,0,1,3,0
106,1,0,0,0,0,4,0
107,0,0,0,1,0,1,0
108,0,0,0,2,0,4,0
109,1,0,0,0,1,1,1
110,1,3,0,2,0,1,0
111,0,0,0,1,2,4,0
112,1,3,0,0,0,1,0
113,4,0,0,1,0,0,2
114,1,0,0,4,1,1,0
115,4,1,2,2,0,4,0
116,0,0,3,1,1,2,0
117,1,0,0,0,1,0,1
118,4,0,0,1,0,2,0
119,3,0,1,0,3,2,3
120,1,2,0,1,1,2,0
121,2,0,0,0,1,1,2
122,3,1,0,2,3,1,2
123,1,0,0,0,0,3,0
124,0,2,0,0,3,1,0
125,0,0,1,0,3,2,0
126,0,0,4,1,4,3,0
