,chlorides,total_sulfur_dioxide,volatile_acidity,free_sulfur_dioxide,density,sulphates,residual_sugar
0,0,3,2,0,4,0,0
1,0,1,1,0,1,0,0
2,2,1,0,0,0,0,0
3,0,0,0,0,0,3,0
4,0,0,1,0,0,1,0
5,0,1,4,0,1,0,0
6,0,1,0,0,0,0,0
7,4,0,1,0,1,1,2
8,1,1,1,0,4,0,0
9,1,1,0,0,0,0,0
10,0,1,1,0,0,0,0
11,0,1,1,0,0,0,0
12,0,1,0,0,1,2,0
13,4,1,0,0,0,1,0
14,0,4,2,0,0,3,0
15,0,0,1,0,2,1,0
16,0,1,0,0,1,0,0
17,4,2,1,0,4,0,0
18,0,4,0,0,4,0,0
19,0,1,1,4,0,0,0
20,2,0,0,0,0,3,1
21,0,1,3,3,0,0,0
22,4,0,1,0,0,0,0
23,0,2,0,0,0,0,4
24,0,2,0,3,1,0,1
25,0,1,1,4,1,4,1
26,1,1,0,0,1,0,0
27,0,0,4,0,1,1,0
28,0,0,1,0,0,0,0
29,1,0,0,2,0,1,0
30,0,2,4,1,0,1,0
31,1,1,0,1,4,0,0
32,3,1,1,0,1,1,0
33,0,1,1,0,0,0,0
34,0,4,0,0,0,0,3
35,0,0,1,0,0,0,0
36,0,2,1,0,0,4,0
37,0,4,0,1,1,0,1
38,0,1,0,0,3,0,0
39,0,1,0,0,0,0,0
40,0,1,0,0,0,1,0
41,3,2,3,0,0,0,0
42,0,0,0,3,4,1,0
43,0,2,3,3,0,1,0
44,0,1,4,0,3,3,0
45,2,0,1,0,0,1,1
46,0,4,0,0,4,0,0
47,0,1,0,0,1,0,1
48,1,2,1,0,1,0,1
49,3,0,0,0,0,0,0
50,0,1,0,0,2,0,0
51,0,3,1,0,0,1,0
52,0,1,3,0,0,4,0
53,0,2,2,4,0,1,0
54,0,0,4,1,0,1,0
55,0,0,0,0,0,1,0
56,1,1,0,0,0,0,0
57,0,1,0,0,0,0,0
58,0,0,1,0,0,1,0
59,0,2,4,0,0,0,0
60,0,1,0,4,0,0,0
61,0,1,2,1,0,0,3
62,0,1,1,0,1,2,0
63,1,0,1,0,3,1,1
64,0,0,0,0,0,0,0
65,0,1,0,0,0,4,0
66,0,2,0,0,0,1,0
67,0,1,4,4,0,1,3
68,1,0,0,0,4,3,0
69,0,1,0,0,0,1,0
70,1,0,0,1,1,1,2
71,0,0,0,0,0,1,4
72,0,1,1,0,0,0,0
73,0,3,0,0,0,0,0
74,0,0,2,0,1,0,0
75,0,0,1,0,1,4,0
76,0,1,0,0,4,0,0
77,2,1,0,1,0,1,2
78,0,1,0,1,0,0,0
79,0,0,1,4,1,4,0
80,0,2,1,0,1,4,3
81,0,4,0,0,1,0,1
82,2,1,0,0,0,3,3
83,2,1,4,0,2,1,0
84,0,0,4,0,0,0,0
85,0,1,0,0,3,0,0
86,0,0,0,0,1,0,0
87,1,1,4,0,0,1,0
88,4,1,0,0,0,0,0
89,0,0,2,0,0,0,1
90,0,0,1,0,3,1,1
91,1,0,3,0,0,0,0
92,0,0,0,0,0,0,0
93,0,1,0,0,1,0,1
94,0,2,0,0,0,1,4
95,0,0,0,1,0,1,0
96,0,1,0,0,0,0,0
97,0,2,3,0,0,0,0
98,3,2,0,1,1,1,2
99,0,0,0,0,0,0,0
100,0,1,0,0,0,0,0
101,1,1,0,2,0,0,0
102,4,3,0,0,0,0,0
103,0,0,0,3,0,1,0
104,0,1,0,0,1,0,1
105,0,2,3,0,0,0,0
106,0,1,0,0,0,2,4
107,0,0,1,4,1,4,2
108,0,3,3,0,0,0,0
109,0,1,0,1,0,3,0
110,4,1,0,0,0,1,0
111,0,1,1,4,2,0,0
112,0,1,0,0,2,0,0
113,0,0,1,0,4,1,0
114,0,2,0,0,2,0,3
115,0,0,2,1,1,1,2
116,4,0,1,4,1,1,1
117,0,2,3,1,1,0,3
118,3,1,1,0,0,0,0
119,0,4,1,1,0,1,1
120,0,1,4,0,0,0,0
121,0,1,4,4,0,0,0
122,0,0,2,0,0,0,3
123,0,1,0,0,0,1,0
124,0,0,0,0,1,1,0
125,0,0,0,0,1,1,0
126,4,0,3,1,1,2,1
127,0,1,0,0,0,1,0
128,0,1,0,0,0,0,0
129,0,1,0,4,2,1,1
130,0,2,0,0,0,0,0
131,0,1,0,0,0,0,0
132,0,1,1,0,0,0,0
133,0,1,3,3,0,4,0
134,0,4,2,3,0,0,0
135,4,0,2,0,0,0,0
136,0,2,0,3,0,0,0
137,0,1,0,0,4,0,3
138,0,0,0,0,4,0,4
139,0,1,0,4,1,1,1
140,4,0,0,0,0,0,0
141,0,0,0,0,0,3,0
142,0,1,0,0,0,0,0
143,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0
145,0,2,0,1,4,0,1
146,1,1,0,3,0,0,2
147,0,1,0,0,0,3,2
148,0,1,1,0,0,0,0
149,0,4,2,0,1,0,0
150,0,0,1,0,1,0,0
151,0,1,1,0,0,0,0
152,0,0,1,0,0,2,0
153,4,2,4,0,0,1,0
154,0,0,4,2,0,1,0
155,2,1,0,0,0,0,0
156,0,0,0,1,3,0,0
157,0,3,1,0,2,1,0
158,2,0,2,2,2,4,1
159,0,0,0,1,1,1,0
160,4,4,2,1,0,0,0
161,0,0,0,0,4,0,0
162,0,0,0,3,0,0,0
163,0,4,4,0,0,0,3
164,1,2,0,1,0,0,4
165,0,2,0,0,1,0,1
166,0,4,4,4,2,1,2
167,0,2,0,0,0,0,0
168,0,2,0,3,1,3,0
169,0,0,1,2,0,1,1
170,4,0,4,0,0,0,0
171,0,0,1,0,1,1,0
172,0,0,0,0,1,1,2
173,0,2,0,1,1,0,1
174,3,2,0,1,0,0,0
175,0,2,2,0,0,1,0
176,0,1,0,0,0,0,0
177,0,1,0,0,0,2,2
178,2,1,0,0,3,3,2
179,0,0,0,1,1,0,0
180,0,0,1,0,1,1,0
181,0,0,0,0,1,4,0
182,4,1,0,0,0,4,0
183,0,1,0,1,0,0,0
184,4,2,0,0,0,0,0
185,1,1,0,1,0,1,3
186,0,0,1,0,1,0,3
187,0,1,1,0,2,0,0
188,0,1,0,3,1,0,1
189,0,0,0,0,3,1,0
190,0,1,1,3,0,1,2
191,0,1,0,0,0,2,0
192,0,1,0,0,0,1,0
193,0,1,0,2,0,0,3
194,0,0,2,0,0,1,0
195,1,1,0,4,4,0,1
196,1,0,0,0,0,2,0
197,0,1,0,0,0,0,0
198,0,1,0,1,0,4,2
199,4,1,0,1,1,0,0
200,0,1,0,0,0,0,0
201,0,0,1,0,1,2,0
202,0,1,0,2,0,0,0
203,0,0,2,0,1,0,0
204,0,1,0,0,1,0,1
205,0,4,0,1,0,0,1
206,3,0,0,3,2,4,0
207,1,2,2,0,0,1,0
208,0,1,0,0,2,1,0
209,0,3,2,0,0,1,0
210,1,0,0,0,2,1,0
211,0,1,0,0,4,0,4
212,0,0,0,0,0,1,0
213,2,0,2,0,0,1,0
214,0,1,2,0,0,0,0
215,0,2,0,1,1,0,2
216,0,3,1,0,1,3,3
217,0,1,0,0,0,1,0
218,0,1,0,0,0,3,0
219,3,1,0,4,1,0,0
220,1,1,1,0,0,0,0
221,2,0,0,2,4,1,0
222,2,1,0,0,0,0,0
223,0,0,3,0,0,0,0
224,4,1,0,0,2,0,0
225,0,1,0,0,0,0,0
226,3,1,0,0,0,0,0
227,0,0,1,0,0,1,0
228,0,3,0,0,0,0,3
229,0,3,1,0,3,0,0
230,3,4,1,0,1,0,1
231,0,0,3,0,1,1,0
232,0,0,0,1,0,1,2
233,0,0,1,0,4,1,3
234,0,1,1,0,0,0,0
235,0,0,1,0,0,1,0
236,0,0,2,3,0,1,2
237,4,1,0,4,0,1,0
238,1,0,0,0,0,1,0
239,0,1,0,0,0,0,0
240,0,2,0,3,1,3,0
241,0,0,1,4,1,0,0
242,0,1,0,1,0,0,0
243,0,1,0,0,2,1,0
244,4,1,0,4,1,0,0
245,0,1,0,0,0,0,0
246,0,0,0,0,3,1,0
247,0,1,0,0,1,4,0
248,0,1,0,0,4,0,3
249,0,1,1,1,0,0,3
250,0,1,1,2,0,0,0
251,0,1,0,0,0,0,4
252,1,0,1,0,0,4,0
253,4,4,0,2,0,0,0
254,0,1,0,1,0,0,4
255,4,1,4,0,0,0,0
256,0,3,0,1,0,1,0
257,0,1,0,0,2,3,0
258,1,1,1,0,1,0,0
259,4,0,0,0,0,0,3
260,0,1,3,0,2,2,0
261,0,4,2,0,0,0,0
262,0,4,2,4,0,4,0
263,0,0,0,0,1,1,0
264,0,3,1,0,1,3,0
265,0,1,1,0,3,0,0
266,0,1,0,0,0,1,0
267,0,1,1,0,1,1,0
268,0,0,3,4,0,1,3
269,0,1,1,0,4,4,0
270,2,1,0,1,0,0,1
271,0,0,3,0,1,3,0
272,0,0,0,0,2,0,2
273,0,4,2,4,3,0,0
274,0,1,0,0,1,0,2
275,0,1,0,3,0,0,0
276,0,1,0,0,0,0,0
277,1,3,0,0,0,0,0
278,0,0,3,0,0,4,0
279,0,2,0,0,2,3,2
280,0,0,1,2,1,1,4
281,0,1,0,1,4,1,0
282,1,1,1,0,4,0,0
283,0,0,1,0,3,0,0
284,0,0,1,0,1,1,2
285,3,0,0,0,0,1,0
286,4,2,0,2,0,1,1
287,2,0,1,4,1,1,0
288,4,1,0,0,0,2,0
289,0,0,0,2,0,0,0
290,0,1,0,0,0,2,4
291,2,0,0,0,0,0,0
292,0,4,0,0,0,0,0
293,0,0,0,2,0,1,1
294,0,3,2,3,2,0,0
295,0,1,0,0,2,0,1
296,0,1,2,0,0,4,0
297,2,4,2,0,0,0,2
298,0,0,0,4,1,1,0
299,1,1,0,0,0,2,0
300,0,3,0,1,3,0,1
301,0,1,0,1,2,0,0
302,0,2,1,0,0,0,0
303,0,0,0,0,4,2,0
304,0,0,4,2,3,0,0
305,3,1,1,0,1,2,0
