,chlorides,density,citric_acid,alcohol,total_sulfur_dioxide,sulphates,volatile_acidity
0,0,0,0,3,0,0,2
1,0,0,0,1,1,3,1
2,3,3,1,1,1,0,0
3,2,0,2,3,2,2,0
4,3,0,1,0,0,3,1
5,4,3,2,0,3,0,0
6,0,0,0,0,1,0,0
7,2,1,2,1,0,1,1
8,0,0,0,1,0,2,1
9,3,0,0,2,1,0,0
10,0,0,0,2,1,0,0
11,0,0,0,1,2,0,0
12,0,0,0,2,4,0,1
13,1,0,0,2,1,4,0
14,0,0,0,2,1,0,0
15,0,0,0,2,0,1,1
16,0,1,1,0,1,0,0
17,0,0,0,2,0,2,1
18,0,0,1,3,0,1,4
19,1,0,0,1,1,0,1
20,0,0,1,3,3,1,0
21,0,0,0,3,0,0,3
22,0,0,0,0,0,0,0
23,0,0,0,2,1,0,0
24,0,1,0,1,2,0,0
25,0,1,1,0,1,1,0
26,2,4,2,1,2,0,0
27,3,0,3,1,0,2,1
28,0,2,0,2,1,1,0
29,0,0,1,2,3,0,0
30,4,4,4,1,2,1,0
31,0,3,1,2,1,0,0
32,0,0,1,4,2,1,1
33,2,2,1,0,1,3,1
34,4,0,0,1,3,0,0
35,0,0,4,2,0,1,2
36,0,0,4,0,2,0,1
37,1,0,1,0,2,0,0
38,0,3,1,2,2,4,0
39,0,0,2,0,1,0,0
40,0,0,1,2,1,1,0
41,0,0,0,1,2,0,0
42,0,0,0,2,0,0,2
43,0,0,4,1,2,1,3
44,0,1,1,1,1,1,0
45,1,1,0,3,0,2,2
46,0,1,0,1,2,0,0
47,0,1,1,0,1,0,0
48,0,1,0,3,2,0,0
49,0,0,0,3,0,0,0
50,0,0,1,4,1,0,0
51,0,0,2,3,1,1,3
52,0,0,0,2,1,0,3
53,0,0,0,1,1,0,0
54,0,0,3,4,0,1,2
55,0,0,0,1,0,1,1
56,0,0,0,0,3,2,1
57,0,0,0,2,1,0,0
58,0,0,0,3,0,1,1
59,0,0,3,1,4,0,4
60,0,0,1,1,1,0,0
61,0,0,1,1,0,1,3
62,1,0,0,3,4,0,1
63,1,1,1,0,0,1,1
64,0,0,0,1,0,0,4
65,0,3,0,1,1,0,0
66,0,3,1,1,2,1,0
67,0,4,2,1,1,1,0
68,0,1,1,3,3,0,0
69,0,0,0,2,3,1,0
70,0,0,3,1,0,1,0
71,2,0,1,2,3,1,1
72,0,2,1,3,3,0,1
73,0,0,0,0,1,2,0
74,0,3,0,1,0,1,2
75,1,1,0,0,0,1,1
76,0,0,1,2,1,0,4
77,0,0,0,0,4,1,0
78,0,0,0,1,1,0,2
79,0,1,0,1,1,2,2
80,0,3,2,1,0,1,2
81,0,1,2,1,1,3,0
82,0,4,0,1,1,0,0
83,0,0,1,1,1,1,3
84,0,0,1,0,1,0,2
85,4,0,0,1,1,0,0
86,0,1,0,0,4,0,3
87,1,0,0,1,1,1,0
88,0,0,1,1,1,1,0
89,0,0,4,1,0,0,3
90,0,0,0,1,0,2,1
91,2,1,0,1,2,0,0
92,0,3,0,0,1,0,0
93,0,1,0,0,1,0,4
94,0,1,0,3,2,2,0
95,0,0,0,3,4,0,0
96,0,0,1,3,4,1,0
97,0,1,0,0,0,0,1
98,0,1,0,1,2,1,0
99,4,0,0,2,0,0,0
100,0,0,4,3,1,0,0
101,0,0,2,2,1,0,0
102,0,2,0,0,0,0,1
103,0,0,0,2,0,0,0
104,0,1,0,0,1,0,4
105,0,2,1,0,0,0,0
106,0,0,4,1,3,0,3
107,0,2,0,1,2,1,1
108,0,1,3,1,4,3,0
109,3,4,0,1,1,0,0
110,0,0,0,1,1,1,0
111,1,1,4,1,0,0,3
112,0,0,0,3,1,3,4
113,0,0,0,0,0,1,2
114,4,1,1,3,1,0,0
115,0,1,0,4,0,1,2
116,0,3,1,1,4,1,3
117,0,1,1,0,1,0,0
118,4,0,0,2,1,0,3
119,0,1,1,0,0,1,0
120,0,0,1,0,1,0,0
121,0,1,3,1,1,3,0
122,0,1,2,1,2,3,2
123,0,0,0,1,1,1,0
124,0,3,1,1,2,3,4
125,1,0,0,1,0,0,0
126,0,4,2,3,4,1,2
127,0,0,1,1,3,0,0
128,1,0,0,3,1,0,0
129,3,1,1,0,4,0,0
130,0,0,2,1,3,0,0
131,0,0,1,4,1,2,0
132,0,0,3,1,1,0,1
133,4,0,0,3,1,1,0
134,2,4,1,0,2,0,1
135,0,0,0,3,0,0,0
136,3,0,1,1,2,0,0
137,0,0,1,2,1,0,2
138,2,1,1,1,1,0,4
139,0,0,0,3,4,0,0
140,0,0,1,3,0,0,0
141,0,0,1,1,4,0,0
142,0,2,0,2,1,3,0
143,3,0,0,2,0,0,0
144,1,0,0,3,1,0,0
145,0,1,1,2,2,0,0
146,0,0,3,2,2,3,0
147,1,0,1,4,3,0,0
148,2,0,0,3,1,0,1
149,0,0,0,0,4,0,2
150,0,4,0,1,0,0,1
151,3,0,0,4,1,0,1
152,0,0,4,1,0,2,2
153,0,0,0,1,2,1,2
154,0,0,4,2,0,1,1
155,0,4,1,0,1,4,3
156,0,0,0,1,1,1,0
157,0,3,0,3,1,1,4
158,1,0,1,3,0,2,4
159,0,3,1,3,0,1,0
160,2,4,0,3,1,0,3
161,4,4,1,2,2,0,0
162,1,0,0,4,0,0,0
163,2,0,1,2,0,1,0
164,0,0,1,2,2,0,0
165,0,1,1,0,2,0,0
166,0,0,0,1,1,4,0
167,0,0,1,3,2,4,0
168,0,0,4,1,1,0,0
169,0,3,0,1,0,1,1
170,1,0,3,0,1,0,0
171,4,4,0,1,0,1,1
172,0,1,1,1,0,4,0
173,4,1,1,0,2,1,0
174,0,4,1,2,2,1,4
175,0,4,1,2,1,1,3
176,0,0,0,1,1,0,0
177,0,2,4,2,1,0,0
178,0,1,3,1,1,0,0
179,3,2,1,1,0,0,1
180,3,1,0,1,0,1,2
181,1,4,2,4,0,0,0
182,0,3,1,2,1,0,3
183,0,0,0,0,1,0,4
184,4,4,0,0,2,1,0
185,0,0,1,4,1,0,0
186,4,0,0,3,3,0,1
187,1,4,1,2,1,2,0
188,1,0,0,4,1,3,0
189,0,0,1,4,2,4,2
190,0,0,4,4,1,1,1
191,3,1,1,3,1,0,0
192,0,3,3,1,1,1,1
193,0,0,1,1,1,0,0
194,4,0,4,2,0,1,4
195,0,1,4,3,1,3,0
196,0,0,0,0,0,0,0
197,0,0,1,3,2,0,0
198,0,0,0,2,0,3,0
199,0,2,2,0,2,0,0
200,0,0,4,4,2,4,1
201,1,1,0,1,0,1,1
202,0,1,0,4,1,0,0
203,0,0,4,0,3,0,3
204,4,1,3,0,1,0,0
205,0,0,4,4,3,0,0
206,0,0,1,2,0,1,2
207,0,0,0,1,0,0,2
208,4,0,0,1,4,1,0
209,1,0,1,3,0,1,0
210,2,0,0,2,1,4,0
211,0,0,3,2,2,1,0
212,3,0,0,3,0,1,1
213,0,2,1,2,0,1,1
214,0,0,0,3,1,1,0
215,0,2,3,3,4,0,0
216,4,0,0,1,3,2,1
217,4,0,0,2,0,1,0
218,0,4,0,2,1,4,0
219,0,1,2,0,1,0,0
220,0,0,0,1,1,0,1
221,0,0,1,2,0,1,0
222,0,0,1,1,1,0,4
223,0,0,0,1,4,0,2
224,0,4,0,3,1,0,0
225,0,0,0,0,1,1,1
226,0,0,1,1,1,0,0
227,0,0,3,3,0,0,1
228,0,1,1,0,1,0,3
229,0,1,2,0,2,2,1
230,0,1,0,0,1,0,3
231,2,1,1,2,2,1,1
232,0,3,0,1,0,1,0
233,0,1,4,1,3,1,1
234,0,0,0,0,0,0,2
235,0,1,0,1,0,1,2
236,0,0,0,1,0,1,0
237,0,0,0,2,1,0,0
238,0,0,1,1,1,1,0
239,0,0,1,3,1,0,4
240,0,3,2,0,4,1,0
241,0,1,0,0,0,0,2
242,0,0,0,1,1,0,0
243,2,0,2,1,1,1,0
244,4,3,1,2,2,0,2
245,0,1,0,2,1,4,0
246,0,0,4,2,2,1,0
247,0,0,0,0,1,0,0
248,0,0,0,1,1,2,0
249,3,0,0,1,1,0,4
250,0,0,0,0,3,0,0
251,3,1,0,2,0,0,0
252,0,0,0,2,0,0,1
253,0,0,1,1,1,0,0
254,4,3,0,4,1,0,0
255,0,0,0,3,0,0,0
256,0,0,1,1,2,1,0
257,0,0,1,2,0,0,0
258,1,1,1,0,2,0,1
259,1,0,1,2,1,0,0
260,0,0,0,0,1,3,0
261,0,0,1,1,0,0,2
262,4,0,1,2,0,1,3
263,3,1,1,2,0,1,0
264,0,1,0,1,0,0,4
