,volatile_acidity,chlorides,free_sulfur_dioxide,residual_sugar,total_sulfur_dioxide,sulphates,citric_acid
0,2,0,0,4,0,0,0
1,1,2,0,0,1,0,1
2,0,0,0,0,2,3,4
3,0,2,0,0,0,3,0
4,1,2,0,0,0,1,1
5,0,0,1,0,1,0,2
6,2,0,0,0,1,0,1
7,1,0,2,2,1,2,1
8,1,1,0,2,1,4,4
9,0,0,0,0,1,0,0
10,0,0,0,0,3,0,0
11,0,0,0,0,3,0,0
12,0,2,2,0,1,0,0
13,3,0,0,1,1,0,0
14,3,0,0,0,0,0,0
15,1,0,0,2,0,3,0
16,0,0,0,1,1,0,1
17,1,0,0,0,3,1,4
18,0,0,0,0,1,0,2
19,0,0,0,0,1,0,4
20,1,0,0,0,0,1,1
21,3,4,0,0,1,0,0
22,0,1,0,0,3,0,0
23,2,0,0,0,1,0,0
24,0,0,0,2,2,4,0
25,0,0,0,1,4,1,1
26,0,0,0,0,2,0,3
27,3,0,2,0,0,1,0
28,0,0,1,0,1,0,2
29,0,1,3,0,0,1,1
30,1,0,0,0,2,1,0
31,3,2,0,1,1,0,1
32,2,1,2,0,3,2,2
33,1,0,0,0,4,0,1
34,3,0,0,0,1,0,0
35,0,0,0,1,0,3,0
36,1,0,1,3,2,0,1
37,0,0,0,1,2,0,1
38,0,4,0,0,1,0,2
39,0,0,0,0,1,0,3
40,0,0,0,4,1,1,1
41,1,4,0,0,2,0,0
42,2,0,0,0,0,1,0
43,0,2,0,0,0,1,0
44,0,0,0,0,2,3,1
45,4,0,0,0,3,1,4
46,0,0,0,4,0,0,0
47,0,1,0,1,1,0,1
48,2,2,0,1,2,0,2
49,0,0,2,0,0,0,3
50,0,2,0,3,1,1,1
51,2,3,0,0,1,1,0
52,0,0,0,0,1,0,0
53,0,0,1,0,4,4,0
54,0,0,1,2,0,1,0
55,1,0,0,0,0,2,0
56,0,0,4,4,0,4,4
57,2,0,0,0,1,0,0
58,4,0,1,1,0,1,0
59,1,0,0,0,1,0,1
60,0,0,0,0,1,4,2
61,0,0,1,3,1,0,1
62,1,0,0,2,3,1,0
63,1,3,0,1,1,1,1
64,0,0,4,0,0,0,0
65,2,2,0,0,1,4,0
66,0,1,0,1,2,4,1
67,0,0,0,0,2,1,1
68,2,0,0,1,1,0,0
69,0,1,0,2,1,1,0
70,1,0,2,4,0,4,1
71,3,0,0,3,0,1,3
72,1,0,0,0,1,0,1
73,0,0,0,0,0,0,0
74,2,0,0,0,2,0,0
75,1,4,0,0,4,1,2
76,3,4,0,0,1,0,1
77,0,0,1,0,1,1,0
78,0,1,1,0,3,0,0
79,1,0,2,4,1,2,0
80,1,0,4,2,0,1,1
81,4,0,4,0,1,0,1
82,0,0,3,1,1,4,0
83,0,3,0,0,1,1,1
84,3,0,0,0,1,0,3
85,2,0,0,0,1,3,0
86,0,0,0,1,2,0,0
87,0,1,0,0,1,0,0
88,3,0,0,4,1,3,1
89,4,0,2,0,0,0,0
90,1,4,4,3,0,1,0
91,0,2,0,0,0,0,0
92,0,0,0,4,2,0,0
93,0,0,0,1,1,0,3
94,0,2,0,0,2,0,1
95,0,1,1,0,0,0,0
96,0,0,0,1,1,1,1
97,2,3,0,0,0,4,0
98,0,1,1,1,2,3,3
99,0,0,0,3,0,0,0
100,0,0,0,0,3,1,0
101,0,0,0,0,1,0,1
102,1,0,0,0,4,0,1
103,0,0,0,4,0,1,0
104,0,0,0,1,3,0,0
105,4,0,0,0,0,0,1
