,red,white
0.2485,7.224438531779744,0.0
0.309,50.5035068065528,15.880252186734355
0.3685,0.0,28.863972669166273
0.4275,0.0,63.48722728898471
0.487,33.19187949664358,119.75001604618969
0.5465,28.863972669166273,63.48722728898471
0.6055,37.51978632412088,2.896531704302439
0.665,33.19187949664358,28.863972669166273
0.7245,0.0,0.0
0.7835,93.78257508132585,0.0
0.843,0.0,0.0
0.9025,0.0,41.847693151598186
0.9615,0.0,0.0
1.021,20.20815901421166,15.880252186734355
1.0805,46.17559997907549,0.0
1.1395,0.0,20.20815901421166
1.199,76.47094777141663,0.0
1.2585,0.0,0.0
1.3175,0.0,0.0
1.377,0.0,0.0
1.4365,2.896531704302439,50.5035068065528
1.4955,63.48722728898471,0.0
1.555,0.0,0.0
1.6145,41.847693151598186,80.79885459889394
1.6735,0.0,28.863972669166273
1.733,0.0,50.5035068065528
1.7925,54.831413634030106,41.847693151598186
1.8515,0.0,0.0
1.911,0.0,0.0
1.9705,0.0,0.0
